Process	Parent_process
Regulation of rod photoreceptor cell differentiation	Regulation of retinal cell differentiation
Regulation of schwann cell differentiation	Regulation of  neuronal or neuroglial cell differentiation
Regulation of short-term potentiation	Regulation of synaptic plasticity
Regulation of short-term synaptic plasticity	Regulation of synaptic plasticity
Regulation of sinusoidal endothelial cell differentiation	Regulation of liver cell differentiation
Regulation of skeletal muscle cell differentiation	Regulation of myocyte cell differentiation
Regulation of smooth muscle cell differentiation	Regulation of myocyte cell differentiation
Regulation of spermatogenesis	Regulation of gonadogenesis
Regulation of stellate cell differentiation	Regulation of liver cell differentiation
Restriction point	Mitotic cell cycle checkpoints
Retinoic acid receptor signaling	Signaling pathways that control cell proliferation and differentiation
Retinol metabolism	Metabolism of fat-soluble vitamins
Retrograde vesicle traffic from endosome to TGN	Vesicle traffic between TGN and endosome
Retrograde vesicle traffic from Golgi to ER	Vesicle traffic between ER and TGN
Rhodopsin receptor signaling	Visual phototransduction
Riboflavin metabolism	Metabolism of water-soluble vitamins
Ribonucleoprotein assembly	Ribonucleoprotein biogenesis
Ribonucleoprotein nuclear export	Ribonucleoprotein biogenesis
Ribonucleoprotein nuclear re-import	Ribonucleoprotein biogenesis
Ribonucleotide reduction	Metabolism of purines and pyrimidines
RIG-I-like receptor signaling	Pattern recognition signaling
RNA 3' degradation by exosome	RNA surveillance and degradation
RNA editing	mRNA capping, editing, polyadenylation and nuclear export
Roundabout signaling	Neuronal signaling pathways
rRNA processing	Ribonucleoprotein biogenesis
rRNA transcription	Ribonucleoprotein biogenesis
Sarcoplasmic reticulum organization	Myofibril formation and organization
Secretin receptor signaling	Signaling pathways regulating water homeostasis
Selectin-mediated Leukocyte rolling	Rolling cell adhesion
Semaphorin signaling	Neuronal signaling pathways
Senescence-associated secretory phenotype	Cell Scenescence
Serine and glycine metabolism	Metabolism of non-essential amino acids
Serotonin and melatonin synthesis	Metabolism of tryptophan products
Serotonin inactivation	Metabolism of tryptophan products
Serotonin-mediated control of postsynaptic potential	Control of postsynaptic potential
Single strand annealing DSB repair	DNA double-strand break repair
Sister chromatid attachment to mitotic spindle	Chromosome segregation by mitotic spindle
Sister chromatid cohesion	Chromosome segregation by mitotic spindle
Sister chromatid segregation	Chromosome segregation by mitotic spindle
Smac-mediated removal of caspase inhibition	Apoptosis
Small ribosomal subunit organization	Ribonucleoprotein biogenesis
snRNA transcription	snRNA expression and spliceosome generation
Sodium transmembrane transport	Transmembrane ion transport involved in membrane potential generation
Somatostatin receptor signaling	Neuronal signaling pathways
Sphingolipid metabolism	Membrane lipid metabolism
Spliceosome disassembly and mRNA release	Pre-mRNA splicing
Step 1 and step 2 catalysis during pre-mRNA splicing	Pre-mRNA splicing
Sulfonation	Phase II biotransformation
Syndecan ectodomain shedding	Signaling by extracellular matrix components
Syndecan receptor signaling	Signaling by extracellular matrix components
T cell receptor signaling	Immune receptor Signaling
Target RNA degradation, inhibition or destabilization by RICS or RITS	RNA surveillance and degradation
Telomere replication	Eukaryotic DNA replication
Tenascin receptor signaling	Matricellular protein signaling
Tetraspanin microdomains	Plasma membrane microdomains
Thiamine metabolism	Metabolism of water-soluble vitamins
Thick myofilament organization	Myofibril formation and organization
Thin myofilament organization	Myofibril formation and organization
Thrombopoietin receptor signaling	Signaling pathways involved in hematopoiesis
Thrombospondin receptor signaling	Matricellular protein signaling
Thromboxane receptor signaling	Prostanoid receptor signaling
Thyroid hormone receptor signaling	Thyroid hormone related signaling
Thyroid-hormone synthesis	Metabolism of phenylalanine products
Thyroid-stimulating hormone receptor signaling	Thyroid hormone related signaling
Thyrotropin-releasing hormone receptor signaling	Thyroid hormone related signaling
Tight junction organization	Cell-cell junction organization
Toll-like receptor signaling	Pattern recognition signaling
Transamination pathways	Ammonium metabolism
Transcription by rna polymerase II	Transcription
Transcription initiation by general transcription factors	Transcription
Transcription regulation by chromatin remodeling	Transcription
Transcription regulation by mediator	Transcription
Transcription repression	Transcription
Transcription termination	Transcription
Transforming growth factor alpha receptor signaling	TGF-beta superfamily signaling
Transforming growth factor beta receptor signaling	TGF-beta superfamily signaling
Translation elongation	mRNA translation
Translation initiation	mRNA translation
Translation termination	mRNA translation
Transmembrane fatty acid translocation	Fatty acid metabolism
Transmembrane glucose transport	Carbohydrate metabolism and transport
Transpositional recombination	DNA recombination
Transsulfuration pathway	One carbon metabolism
Triacylglycerol hydrolysis and mobilization	Triacylglycerol metabolism and transport
Triacylglycerol metabolism	Triacylglycerol metabolism and transport
Triacylglycerol transport by lipoproteins	Triacylglycerol metabolism and transport
tRNA amino acid activation	mRNA translation
Tropoelastin synthesis	Elastogenesis
Tryptophan metabolism	Metabolism of essential amino acids
Tumor necrosis factor alpha receptor signaling	TNF superfamily signaling
Tumor necrosis factor beta receptor signaling	TNF superfamily signaling
Tyrosine metabolism	Metabolism of non-essential amino acids
U1 snRNP assembly	Pre-mRNA splicing
U2 snRNP assembly	Pre-mRNA splicing
U4-U6-U5 tri-snRNP assembly	Pre-mRNA splicing
Ubiquinone biosynthesis	Mitochondrial energy production
Urea cycle	Ammonium metabolism
Vascular endothelial growth factor receptor signaling	Signaling pathways that control cell proliferation and differentiation
Vasoactive intestinal peptide receptor signaling	Gastrointestinal hormone signaling
VDJ recombination	DNA recombination
Versican receptor signaling	Signaling by extracellular matrix components
Versican synthesis	Proteoglycan synthesis
Vesicle fusion with plasma membrane	Vesicle exocytosis
Vesicle tethering at plasma membrane	Vesicle exocytosis
Vimentin-like intermediate filament dynamics	Cytoplasmic intermediate filament and septin dynamics
Vitamin C metabolism	Metabolism of water-soluble vitamins
Vitamin D metabolism	Metabolism and transport of cholesterol, steroids and bile acids
Vitamin D receptor signaling	Signaling pathways regulating calcium homeostasis
Vitamin K metabolism	Metabolism of fat-soluble vitamins
VLDL assembly	Plasma lipoprotein assembly
VLDL clearance	Plasma lipoprotein clearance
Water transmembrane transport	Transmembrane water and ion transport not involved in membrane potential generatation
WNT-Beta-catenin signaling pathway	Signaling pathways that control cell proliferation and differentiation
Z-disc organization	Myofibril formation and organization
Zinc transmembrane transport	Transmembrane water and ion transport not involved in membrane potential generatation
